id;titulo;autor;ano;genero;ADVCL;ADVMOD;AMOD;APPOS;AUX;CASE;CC;CCOMP;COMP;CONJ;COORD;COP;CSUBJ;CSUBJPASS;DEP;DET;DISCOURSE;DOBJ;IOBJ;MARK;MOD;MWE;NSUBJ;NSUBJPASS;NUM;NUMBER;PARATAXIS;POBJ;POSS;PRECONJ;PREDET;PUNCT;ROOT;S;SJ;XCOMP
97;DEZ QUILOS DE TRUTAS;TOMAZ DE FIGUEIREDO;1970;Tale;23;450;386;3;18;1035;391;75;0;38;0;110;2;0;2342;1092;0;433;75;110;500;202;319;0;37;0;125;383;50;2;0;620;545;0;0;42
98;PERFORMANCE;José Martins Garcia;século 20;Tale;37;424;449;3;27;967;334;102;2;20;0;214;2;1;1193;1435;0;633;77;138;566;152;499;1;28;1;197;452;76;3;0;744;529;0;0;52
99;Camões;Almeida Garrett;1825;Poetry;25;382;811;6;6;872;386;39;1;17;0;151;0;0;2182;1122;0;507;76;82;685;172;519;3;4;0;202;349;74;2;1;448;350;0;0;31
100;Folhas Caídas;Almeida Garrett;1853;Poetry;53;529;546;5;11;764;343;59;1;32;0;249;2;0;2106;1014;0;536;58;131;572;161;563;2;5;3;170;251;108;2;1;522;445;0;0;56
101;Frei Luís de Sousa;Almeida Garrett;1844;Drama;26;544;381;9;18;711;402;91;2;29;0;200;3;0;2828;816;0;495;59;117;475;265;508;0;13;3;206;256;150;2;0;427;336;0;0;54
102;Viagens na Minha Terra;Almeida Garrett;1846;Short story;33;519;593;6;16;935;508;81;1;34;0;228;2;1;1999;1147;0;541;70;116;543;167;504;1;18;4;229;385;114;5;2;507;301;0;0;44
103;A CAMA DE PREGOS;Luísa Costa Gomes;2001;Tale;41;507;451;5;34;1098;377;117;2;15;0;248;2;0;1351;1275;0;689;94;115;594;153;516;3;37;0;177;435;37;2;5;560;489;0;2;68
104;AGOSTO AZUL;M. TEIXEIRA-GOMES;1904;Chronicle;18;357;739;1;15;1229;373;69;3;34;0;160;0;0;1900;1367;0;546;86;80;641;103;480;1;27;1;122;620;53;3;1;307;293;0;0;49
105;UMA COPEJADA DE ATUM;Manuel Teixeira Gomes;1941;Tale;24;410;653;3;12;1132;416;83;3;33;0;163;0;0;2210;1286;0;532;83;89;644;86;460;3;30;6;116;546;53;0;0;255;232;0;0;50
106;D. JOAQUINA EUSTÁQUIA SIMÕES D'ALJEZUR;Manuel Teixeira Gomes;1941;Short story;34;439;681;0;6;1110;365;57;0;28;0;151;3;0;2132;1279;0;496;110;89;624;201;470;6;13;2;115;528;130;3;3;313;267;0;0;44
107;DA ESCADA;Luísa Costa Gomes;2001;Tale;60;612;297;11;52;808;463;231;4;37;0;302;0;0;1259;1110;0;737;60;308;457;119;604;2;15;0;220;297;58;11;2;653;539;0;0;121
108;IMPÉRIO DO AMOR;Luísa Costa Gomes;2001;Tale;50;419;613;14;24;1198;457;111;0;42;0;217;0;0;1460;1240;0;632;99;125;724;166;504;1;26;0;195;516;65;2;1;376;315;0;0;44
109;O SÍTIO DA MULHER MORTA;Manuel Teixeira Gomes;1941;Short story;50;490;502;5;22;986;404;135;0;48;0;228;2;0;2034;1203;0;653;117;165;596;137;550;2;32;1;121;374;107;2;2;352;273;0;0;58
110;UMA CENA GREGA;Manuel Teixeira Gomes;1941;Short story;37;477;510;9;28;1081;421;115;0;44;0;173;0;0;2209;1245;0;600;96;112;651;188;458;4;27;3;123;476;64;1;4;263;226;0;0;46
111;A ABÓBADA;Alexandre Herculano;1877;Tale;42;375;584;5;28;1052;403;86;1;29;0;203;1;0;2115;1218;0;593;55;113;619;371;509;3;27;9;159;471;98;3;1;324;214;0;0;52
112;A DAMA PÉ-DE-CABRA;Alexandre Herculano;1877;Tale;37;370;494;3;17;844;437;103;0;30;3;233;0;0;2252;954;0;597;77;163;474;243;490;0;17;0;170;360;157;3;3;514;380;0;0;57
113;A Harpa do Crente;Alexandre Herculano;1838;Poetry;43;311;560;7;3;928;368;40;0;16;0;139;1;0;2501;1222;0;461;64;104;650;166;479;2;6;0;172;370;87;0;0;373;351;0;0;33
114;A MORTE DO LIDADOR;Alexandre Herculano;1877;Tale;40;350;690;4;4;1261;541;59;0;36;0;179;0;0;1768;1434;0;499;65;82;699;272;539;2;59;8;210;615;93;4;2;202;91;0;0;36
115;Eurico o Presbítero;Alexandre Herculano;1844;Novel;34;325;615;4;17;1174;362;66;1;22;0;167;2;0;1865;1501;0;526;69;97;587;150;526;1;21;3;129;614;97;3;1;354;288;0;0;59
116;DE JERSEY A GRANVILLE (1831);ALEXANDRE HERCULANO;1851;Novel;29;365;668;0;18;1093;370;69;2;24;0;192;0;0;2059;1399;0;507;61;94;597;126;503;2;57;0;134;543;103;3;2;319;298;0;0;41
117;O Bobo;Alexandre Herculano;1843;Novel;35;374;598;5;21;1169;410;77;1;27;0;184;2;0;1640;1424;0;577;81;102;610;210;545;2;27;1;150;577;109;5;2;379;288;0;0;61
118;TRÊS MESES EM CALECUT;ALEXANDRE HERCULANO;1851;Chronicle;36;370;527;9;22;1146;409;97;0;45;0;183;3;0;1828;1264;0;638;75;130;638;372;567;2;34;4;156;494;112;2;0;278;222;0;0;77
119;URIEL;Maria Teresa Horta;2014;Tale;15;274;731;5;10;1244;468;129;0;20;0;65;0;0;1896;1308;0;741;40;80;891;114;274;0;0;0;234;587;398;0;0;164;95;0;0;35
120;LEÃO VELHO;Lídia Jorge;2004;Tale;59;545;500;4;61;1019;349;113;1;20;0;250;3;0;1879;1264;0;561;51;178;566;220;513;3;56;1;154;423;60;1;2;406;330;0;0;64
121;MARIDO;Lídia Jorge;1997;Tale;63;473;358;9;23;1149;417;93;2;20;0;186;2;0;1405;1441;0;609;52;190;714;159;437;0;34;2;211;401;45;2;0;473;473;0;0;75
122;A CAMPONESA, A ÉGUA E O CAVALEIRO;Nuno Júdice;2003;Tale;36;472;472;15;15;928;226;97;0;41;0;92;0;0;3178;1097;0;697;51;92;677;108;446;10;0;0;31;364;190;5;0;195;185;0;0;67
123;O AZAR DOS TÁVORAS;Nuno Júdice;2003;Tale;40;480;457;10;40;926;292;141;0;34;0;131;0;0;2558;1182;0;708;64;148;655;138;507;10;10;0;54;369;131;7;0;282;258;0;0;67
124;NAUFRÁGIO DA MEDUSA;Versão de MAXIMIANO LEMOS JÚNIOR;189?;Novel;26;402;527;5;44;1190;390;100;0;39;0;214;2;1;1188;1500;0;744;90;78;587;253;572;5;119;18;132;545;69;0;1;352;337;0;0;101
125;A SOMBRA;Mário Henrique Leiria;1973;Tale;19;464;454;0;29;1034;348;58;0;10;0;232;0;0;1420;1169;0;589;29;58;667;184;425;0;0;0;145;444;19;0;0;744;696;0;0;48
126;A TERRA FORA DO SÍTIO;MARIA GABRIELA LLANSOL;1962;Chronicle;34;287;521;0;9;1163;398;62;0;3;0;145;3;0;1366;1471;0;638;86;77;561;194;493;9;19;0;157;570;154;3;6;598;459;0;0;19
127;Negritude e Humanismo;Alfredo Margarido;1964;Essay;34;339;726;2;17;1070;310;107;2;22;0;170;4;0;2750;1295;0;424;45;137;486;154;405;0;6;19;132;543;66;5;1;231;195;0;0;50
128;AILERON;Fernando Cabral Martins;2003;Tale;74;447;513;17;58;893;554;149;0;17;0;124;8;0;2002;1257;0;703;58;273;571;190;380;0;8;0;240;289;58;8;8;364;331;0;0;66
129;HISTÓRIA DA CIVILIZAÇAO IBÉRICA;OLIVEIRA MARTINS;1879;Essay;28;324;692;2;15;1141;416;62;1;25;0;176;2;0;1853;1509;0;435;46;83;592;294;443;1;20;35;158;579;60;7;1;338;286;0;0;35
130;PORTUGAL CONTEMPORÂNEO I;OLIVEIRA MARTINS;1881;Essay;27;333;568;2;15;1070;423;69;1;24;0;175;2;0;2156;1329;0;489;49;83;616;305;472;1;25;34;194;473;56;4;1;364;282;0;0;36
131;PORTUGAL CONTEMPORÂNEO II;OLIVEIRA MARTINS;1881;Essay;34;345;552;2;15;998;386;64;0;25;0;162;1;0;2178;1274;0;475;47;95;577;302;433;0;18;55;168;445;69;4;1;469;356;0;0;35
132;TEMPO A PERDER;Fernando Cabral Martins;2004;Tale;65;420;681;0;56;1381;532;84;0;37;0;224;0;0;951;1576;0;569;56;131;700;159;513;9;9;0;354;616;84;19;9;261;233;0;0;37
133;EPANÁFORA AMOROSA;D. FRANCISCO MANUEL DE MELO;1660;Tale;50;492;498;5;22;936;364;95;0;24;0;203;5;1;2787;1054;0;567;63;158;605;232;490;4;12;1;126;364;140;6;1;237;196;0;0;45
134;PERSEGUIÇÃO NO MAR;NUN'ÁLVARES DE MENDONÇA;1985;Memoirs;45;561;337;5;49;1003;281;98;2;31;0;274;2;0;1879;1301;0;587;61;118;528;204;494;2;29;6;84;358;84;2;3;533;462;0;0;88
135;A CHEGADA;José Rodrigues Miguéis;2002;Tale;16;421;551;10;19;873;393;70;0;16;0;180;2;0;2981;985;0;416;62;81;542;191;374;2;22;6;181;348;47;3;0;434;330;0;0;46
136;GENTE DA TERCEIRA CLASSE;JOSÉ RODRIGUES MIGUÉIS;1962;Chronicle;34;418;493;1;24;1081;481;85;1;30;0;190;1;0;2035;1245;0;566;78;121;575;129;429;1;22;0;177;460;54;5;3;447;368;0;0;54
137;O PESCADOR URASHIMA;VENCESLAU DE MORAES;19??;Chronicle;22;451;565;3;13;984;442;81;0;34;0;160;1;0;2391;1252;0;539;101;103;601;87;430;1;20;0;220;408;123;1;0;329;273;0;0;50
138;O VIÚVO;DAVID MOURÃO-FERREIRA;1974;Tale;32;577;267;6;55;841;218;98;1;11;0;237;1;2;1947;998;0;551;63;166;396;156;377;0;27;0;140;298;56;1;4;925;719;0;0;46
139;A CASA FECHADA;Vitorino Nemésio;1971;Short story;38;424;460;4;21;1136;347;89;3;23;0;176;2;0;1760;1383;0;557;86;123;571;216;488;1;26;3;164;519;49;2;0;511;369;0;0;57
140;CABEÇA DE BOGA;Vitorino Nemésio;1924;Tale;40;307;290;11;17;921;324;71;3;17;0;216;0;0;2458;1199;0;534;74;136;418;239;395;0;14;0;125;446;91;3;0;554;483;0;0;37
141;O NAVIO PIRATA;VITORINO NEMÉSIO;1949;Tale;24;343;480;5;10;1150;354;54;6;15;0;163;0;0;1864;1335;0;513;91;84;493;289;427;1;26;5;121;549;67;1;1;522;445;0;0;53
142;PRIMEIRO CORSO;VITORINO NEMÉSIO;1956;Chronicle;14;356;686;3;9;1189;453;53;1;22;0;167;1;0;1778;1387;0;427;54;75;593;302;424;0;31;3;141;613;87;4;1;383;336;0;0;39
143;A ÚLTIMA VIAGEM DA NAU DA ÍNDIA;JOÃO BRAZ DE OLIVEIRA;1970;Novel;26;270;535;0;22;1464;433;56;3;21;0;201;0;0;1154;1627;0;564;57;62;740;223;510;0;32;68;145;733;26;0;0;322;323;0;0;28
144;A HOLANDA;RAMALHO ORTIGÃO;1883;Chronicle;15;285;736;2;10;1373;455;53;1;17;0;137;1;1;1896;1483;0;380;52;60;715;223;354;2;46;4;204;637;73;6;3;257;237;0;0;23
145;A PRIMEIRA TEMPESTADE;Ramalho Ortigão;1915;Tale;32;462;458;11;34;997;346;120;0;30;0;185;1;0;1596;1209;0;624;140;144;539;123;477;1;16;0;199;408;251;3;1;550;417;0;0;62
146;AS FARPAS I;RAMALHO ORTIGÃO;1871;Chronicle;18;316;714;2;16;1330;434;60;1;18;0;150;1;0;1712;1519;0;427;57;70;686;258;382;2;32;2;183;607;93;7;3;297;273;0;0;30
147;AS FARPAS II;RAMALHO ORTIGÃO;1871;Chronicle;16;382;711;2;13;1217;417;73;1;19;0;151;4;0;2038;1356;0;419;52;77;634;308;358;1;26;5;157;566;119;5;2;281;264;0;0;31
148;ELE E ELA;Ramalho Ortigão;1915;Tale;33;401;508;7;23;1059;434;100;0;23;0;170;0;0;2636;1270;0;575;114;104;531;140;361;7;20;0;157;464;147;0;0;274;190;0;0;33
149;O MAR;RAMALHO ORTIGÃO;1876;Script;44;365;803;3;24;1128;423;65;0;18;0;215;4;0;1266;1646;0;527;62;96;608;166;568;1;38;4;195;496;147;0;1;353;338;0;0;25
150;O MARINHEIRO;FERNANDO PESSOA;1913;Drama;48;629;316;6;51;677;265;172;1;33;0;305;9;0;1568;999;0;602;65;217;399;108;624;0;11;0;57;207;139;3;0;800;722;0;0;79
151;PEREGRINAÇÃO;FERNÃO MENDES PINTO;1614;Chronicle;44;472;406;9;29;1075;349;89;1;37;0;202;2;1;3202;1025;0;527;70;143;605;259;469;1;69;1;67;382;91;2;2;85;93;0;0;46
152;PEREGRINAÇÃO;FERNÃO MENDES PINTO;1614;Chronicle;57;508;442;10;15;1141;344;94;0;34;0;202;3;0;2622;1127;0;584;122;172;616;157;523;3;67;0;62;431;109;0;2;139;142;0;0;54
153;L;Jacinto Lucas Pires;2014;Tale;52;674;404;5;13;850;490;152;5;45;0;231;3;0;2661;975;0;564;68;142;524;144;367;0;45;0;199;252;87;13;3;393;283;0;0;55
154;VIAGEM À ILHA DE SATANÁS;JOSÉ CARDOSO PIRES;1997;Novel;25;345;531;11;22;1333;439;95;1;22;0;150;0;0;1765;1243;0;507;80;86;739;478;413;4;24;11;128;560;32;1;0;299;278;0;0;30
155;CIVILIZAÇÃO;Eça de Queirós;1900;Tale;24;375;625;1;11;1029;426;60;0;16;0;141;1;0;2469;1215;0;421;29;93;616;175;394;1;43;5;177;439;102;3;0;375;336;0;0;23
156;FREI GENEBRO;Eça de Queirós;1900;Tale;35;390;671;2;19;1039;359;73;0;21;0;123;2;0;2310;1278;0;470;52;130;668;205;435;2;14;0;146;420;146;0;0;347;298;0;0;19
157;JOSÉ MATIAS;Eça de Queirós;1900;Tale;37;460;628;2;10;1025;364;59;1;13;0;126;0;0;2299;1261;0;377;44;136;621;320;396;0;36;1;124;416;125;6;0;406;329;0;0;18
158;NO MOINHO;Eça de Queirós;1900;Tale;38;406;549;4;5;1080;366;54;0;20;0;257;0;0;1931;1389;0;526;118;88;668;174;434;0;20;0;172;434;167;4;2;388;325;0;0;36
159;O DEFUNTO;Eça de Queirós;1900;Tale;40;465;562;1;13;978;362;62;3;27;0;143;1;0;2542;1199;0;453;54;133;599;276;437;0;22;0;111;409;89;2;0;366;295;0;0;29
160;O MIANTONOMAH;EÇA DE QUEIRÓS;1866;Tale;35;302;769;0;7;981;555;47;0;12;0;179;1;0;2060;1507;0;440;38;87;561;83;484;0;25;1;326;480;94;4;0;308;279;0;0;25
161;O SUAVE MILAGRE!;Eça de Queirós;1900;Tale;29;366;606;0;3;1140;377;37;0;32;0;74;0;0;2283;1401;0;453;32;105;735;226;474;0;18;0;119;487;108;5;0;303;271;0;0;21
162;Os Maias;Eça de Queirós;1888;Novel;42;464;489;4;19;991;360;63;2;21;0;186;2;0;1936;1232;0;552;82;124;607;232;482;1;26;0;206;404;84;1;1;535;389;0;0;48
163;SINGULARIDADES DE UMA RAPARIGA LOIRA;Eça de Queirós;1900;Tale;36;364;648;4;23;926;484;62;2;34;0;210;1;0;1763;1227;0;532;92;121;592;194;480;2;24;10;261;386;138;1;0;542;389;0;0;49
164;UM POETA LÍRICO;Eça de Queirós;1900;Tale;24;300;593;0;10;1019;416;59;0;29;0;212;0;0;2381;1205;0;446;69;86;614;165;406;0;24;0;232;416;118;0;0;422;347;0;0;43
165;Odes Modernas;Antero de Quental;1865;Poetry;34;300;542;5;6;796;428;55;1;32;0;183;5;1;2622;1192;0;482;47;123;613;174;462;1;16;8;166;307;64;4;0;380;327;0;0;39
166;Primaveras Românticas;Antero de Quental;1872;Poetry;48;378;496;6;9;734;339;64;0;27;0;177;0;0;2116;1103;0;549;62;150;552;136;474;0;12;5;147;260;156;2;0;615;506;0;0;58
167;A PELE DO BOMBO;Aquilino Ribeiro;1913;Tale;75;386;463;5;27;1109;413;71;0;34;0;171;2;2;1572;1367;0;646;139;148;575;121;507;0;23;0;139;479;55;2;0;509;383;0;0;50
168;O MORGADO DE FRAIÃO;Aquilino Ribeiro;1963;Short story;36;410;528;4;32;1115;405;111;1;28;1;183;2;0;1643;1230;0;584;91;127;654;336;467;2;37;3;150;466;92;1;1;453;356;0;0;50
169;O PÃO-DE-LÓ;Aquilino Ribeiro;1963;Short story;36;356;542;1;24;1085;430;78;5;19;0;217;0;0;1774;1270;0;560;91;110;656;234;481;4;30;1;169;469;69;1;1;465;374;0;0;48
170;OS LADRÕES DAS ALMAS;Aquilino Ribeiro;1913;Tale;40;359;415;1;18;1118;317;75;1;25;0;193;1;0;1765;1340;0;575;88;133;634;148;510;0;42;1;124;476;49;0;0;528;471;0;0;50
171;O PROFESSOR INTEMERATO E A GAITINHA DO CAPADOR;Aquilino Ribeiro;1963;Short story;34;385;571;1;23;1045;309;125;1;22;0;203;4;0;1775;1209;0;539;89;139;562;207;435;1;19;1;116;472;120;2;1;556;458;0;0;58
172;TEM BOM CORPO… TRABALHE!;Aquilino Ribeiro;1963;Short story;54;451;382;12;22;976;394;96;2;17;0;207;1;1;1799;1163;0;671;123;122;509;127;501;1;47;1;206;425;96;2;0;631;442;0;0;58
173;A MULHER QUE APRENDEU A CHORAR;Jaime Rocha;2000;Tale;55;380;388;12;10;839;339;120;4;20;0;284;2;0;2498;1338;0;573;63;158;536;108;585;0;6;0;177;345;158;4;0;325;262;0;0;53
174;HISTÓRIA DE ROSA BRAVA;José Régio;1946;Tale;45;628;499;5;34;871;342;110;3;19;0;213;4;1;1983;1053;0;618;92;174;550;154;507;1;10;0;156;314;120;6;2;548;421;0;0;61
175;CLARA EUGÉNIA E AS METÁFORAS;Amadeu Lopes Sabino;1991;Short story;28;290;613;7;18;1169;433;81;0;17;0;149;0;0;1595;1296;0;633;73;81;705;342;441;2;10;0;209;552;76;2;0;408;325;0;0;55
176;NOS MARES DO FIM DO MUNDO;BERNARDO SANTARENO;1959;Chronicle;28;514;500;7;24;840;384;66;2;18;0;176;1;1;2401;1113;0;446;55;112;521;191;457;1;32;1;203;299;41;7;0;613;421;0;0;38
177;CHORO DE CRIANÇA;Jorge de Sena;1971;Tale;21;390;549;13;24;1013;369;58;0;18;0;199;3;0;1991;1272;0;521;54;126;536;136;528;3;9;1;143;424;31;3;0;541;478;0;0;24
178;A GRÃ-CANÁRIA;JORGE DE SENA;1976;Tale;41;449;503;9;27;1050;446;75;2;26;0;222;0;1;1944;1302;0;587;64;120;586;123;544;2;26;0;181;407;63;0;3;396;370;0;0;39
179;HOMENAGEM AO PAPAGAIO VERDE;JORGE DE SENA;1976;Tale;45;399;523;6;21;1157;455;76;0;28;0;145;1;1;2239;1194;0;588;50;121;678;133;489;2;16;0;136;478;171;3;0;271;254;0;0;44
180;AS ITES E O REGULAMENTO;Jorge de Sena;1971;Tale;31;385;568;6;19;1082;377;85;0;19;0;183;1;2;2483;1236;0;486;49;101;662;137;445;2;13;2;147;429;48;3;2;306;271;0;0;34
181;SUPER FLUMINA BABYLONIS;Jorge de Sena;1978;Tale;76;579;481;11;23;856;448;191;2;34;0;267;2;0;2156;1120;0;592;100;274;481;194;667;0;5;2;115;329;107;5;0;277;267;0;0;60
182;Guerras do Alecrim e Manjerona;António José da Silva;1737;Drama;35;486;288;7;14;547;256;96;2;22;0;238;2;0;2602;676;0;545;55;142;367;569;662;2;10;0;110;191;134;2;0;579;584;0;0;46
183;O MAR NÃO TEM CANCELAS;JOAQUIM PEDRO CELESTINO SOARES;1941;Novel;28;409;379;3;26;989;477;82;2;43;0;197;1;0;1956;1300;0;644;75;92;622;244;509;1;63;19;226;453;55;2;1;381;318;0;0;46
184;O MEDO DE GEORGE STEINER;Gonçalo M. Tavares;2004;Tale;49;371;411;0;20;733;420;39;0;10;0;225;10;0;2630;1271;0;587;10;117;440;196;538;0;29;0;254;244;68;10;10;411;401;0;0;68
185;O VASO;Gonçalo M. Tavares;2005;Tale;104;731;239;0;60;642;507;75;0;30;0;239;0;0;1448;1060;0;612;15;134;403;60;701;0;75;0;284;179;75;0;0;806;731;0;0;45
186;TENTAR NÃO MORRER;Gonçalo M. Tavares;2005;Tale;13;523;336;0;54;832;309;40;0;13;0;282;0;0;1329;1087;0;604;27;67;336;161;443;0;27;0;188;322;107;0;0;980;913;0;0;81
187;CONFIDÊNCIA BARREIRENSE;Teresa Veiga;2000;Tale;45;502;586;8;31;1246;449;195;1;35;0;231;8;0;1247;1363;0;667;87;204;633;169;467;6;30;0;73;559;146;3;2;310;300;0;0;93
188;O ROMANCE PERDIDO;Fernando Venâncio;2004;Tale;40;609;475;2;30;834;355;75;2;30;0;252;5;2;1968;1144;0;654;80;147;475;90;490;2;40;0;200;320;90;0;0;509;504;0;0;47
189;Auto da Barca do Inferno;Gil Vicente;1517;Drama;28;430;458;9;16;582;350;67;14;47;0;232;0;0;1443;769;0;611;63;104;512;391;713;0;14;141;169;245;67;0;0;801;727;0;1;63
190;Auto da Alma;Gil Vicente;1518;Drama;13;341;549;8;15;532;385;66;2;34;0;209;2;0;3098;650;0;522;41;90;430;279;507;2;6;187;175;160;87;0;0;466;419;0;0;38
191;Auto da Índia;Gil Vicente;1509;Drama;27;431;497;5;5;367;314;53;0;27;0;194;0;0;2846;463;0;548;72;106;436;457;684;0;35;149;186;120;66;0;0;638;564;0;0;48
192;Farsa de Inês Pereira;Gil Vicente;1523;Drama;48;517;426;6;28;424;373;78;1;60;0;150;1;0;2701;469;0;599;62;152;436;335;599;3;9;194;195;113;64;1;1;616;508;0;0;87
193;A Cidade e a Infância;Luandino Vieira;1960;Tale;40;448;460;10;21;1013;345;68;0;16;0;210;0;0;1279;1283;0;554;49;134;553;139;549;0;14;6;139;449;70;0;2;739;664;0;0;48
194;KAPAPA;JOSÉ LUANDINO VIEIRA;1998;Novel;29;363;460;8;23;1034;432;64;1;15;0;212;0;0;2488;1152;0;504;28;67;670;91;462;0;25;4;244;447;208;1;1;335;245;0;0;64
195;Sermão de St.° António aos Peixes;P.e António Vieira;1654;Allegory;62;555;456;9;22;886;505;104;3;58;0;222;5;0;2224;1216;0;626;85;196;519;134;512;3;26;0;132;324;85;6;1;332;307;0;0;52
